26.786263,0.01
27.348027000000002,0.02
27.986039,0.03
28.433122,0.04
28.811616,0.05
28.988374,0.06
29.175941,0.07
29.383989999999997,0.08
29.527668,0.09
29.717530999999997,0.1
29.888755,0.11
30.184583,0.12
30.394097,0.13
30.555685999999998,0.14
30.7252,0.15
30.856180000000002,0.16
31.041406000000002,0.17
31.138513,0.18
31.27614,0.19
31.429633,0.2
31.559839,0.21
31.721487,0.22
31.818499,0.23
31.934869,0.24
32.011303,0.25
32.152245,0.26
32.252854,0.27
32.351229000000004,0.28
32.48047,0.29
32.622638,0.3
32.722211,0.31
32.875840000000004,0.32
33.064054000000006,0.33
33.206079,0.34
33.362562999999994,0.35
33.510678,0.36
33.623506,0.37
33.755702,0.38
33.878379,0.39
34.008438000000005,0.4
34.169968000000004,0.41
34.282492999999995,0.42
34.424862,0.43
34.611717,0.44
34.804078000000004,0.45
34.980866999999996,0.46
35.099536,0.47
35.279610000000005,0.48
35.399754,0.49
35.565068,0.5
35.760253999999996,0.51
35.864443,0.52
36.013976,0.53
36.185082,0.54
36.582237,0.55
36.721604,0.56
36.922196,0.57
37.098297,0.58
37.278972,0.59
37.461288,0.6
37.644686,0.61
37.802828,0.62
37.956657,0.63
38.167907,0.64
38.389283000000006,0.65
38.509558,0.66
38.774179,0.67
38.910285,0.68
39.140332,0.69
39.301361,0.7
39.539748,0.71
39.743807,0.72
39.907284000000004,0.73
40.156763,0.74
40.421152,0.75
40.761052,0.76
41.067280999999994,0.77
41.335371,0.78
41.484789,0.79
41.870873,0.8
42.245759,0.81
42.629017,0.82
43.00836,0.83
43.471386,0.84
43.992308,0.85
44.265505,0.86
44.972238999999995,0.87
45.712866999999996,0.88
46.327185,0.89
46.884763,0.9
47.652316,0.91
48.959250000000004,0.92
50.460323,0.93
52.12361,0.94
53.681398,0.95
55.926997,0.96
58.106524,0.97
62.862866000000004,0.98
66.352012,0.99
